ANIMAL,GROUP,LACTATION DAY,ALL PUPS GATHERED,ALL PUPS NESTED,PUPS PARTIALLY GATHERED,PUP RETRIEVAL,PUP INTERACTION,MATERNAL CROUCHING,NEST BUILDING,SOLO TIME,TIME WITH PUPS,PUPS GROUPED,INITIATED PUP RETRIEVAL (s),COMPLETED PUP RETRIEVAL (s),NEST SCORE,Litter Weight (g),Litter Count,Average Pup Weight (g),Litter Weight Gain,SURGERY ID,BLINDED ANIMAL ID,TOTAL CELLS COUNTED PER LHB,AVERAGE CELLS PER SECTION,TOTAL MEASURED LHB VOLUME (UM^3),"TOTAL MEASURED LHB VOLUME (100,000 UM^3)",AVERAGE VOLUME PER SECTION (UM^3),"AVERAGE VOLUME PER SECTION (100,000 UM^3)","CELLS PER 100,000 UM^3","CELLS PER 100,000 UM^3 NORMALIZED BY SECTION NUMBER",NUMBER OF SECTIONS COUNTED,HIPPOCAMPUS,MH,PVT,CL,TOTAL,ANT MB
C6F2,CONTROL,LD3,2,1,6,2,9,0,23,16,5,8,678,1425,3,15,8,1.88,NA,210915A,ANIMAL C,4250,472.22,89280000,892.8,9920000,99.2,4.76,0.529,9,2.3,1.6,0.9,1.7,6.5,3
C6F3,CONTROL,LD3,16,14,3,1,5,2,25,8,18,19,669,876,4,10.9,5,2.18,NA,210819B,ANIMAL K,3717,413,81210000,812.1,9023333,90.233,4.577,0.509,9,2.9,0.3,0.7,0.7,4.6,3
C6F4,CONTROL,LD3,20,19,3,2,6,4,18,10,15,23,26,627,3,11.1,6,1.85,NA,210929A,ANIMAL V,332,41.5,41800000,418,5225000,52.25,0.794,0.099,8,0.7,0,0,0,0.7,0
C2F5,DREADD,LD4,0,0,0,1,10,0,2,30,0,0,20,1800,0,19.3,11,1.75,NA,210614A,ANIMAL N,2259,205.36,123130000,1231.3,11193636,111.936,1.835,0.167,11,1.7,0.3,0.3,0.3,2.4,3
C3F1,DREADD,LD4,0,0,8,3,11,1,14,28,3,8,450,1800,2,15.3,9,1.7,NA,210709B,ANIMAL O,881,125.86,51650000,516.5,7378571,73.785,1.706,0.244,7,1.7,0.3,0.6,0.4,3,NA
C3F2,CONTROL,LD4,16,12,2,0,9,2,26,11,15,18,620,832,3,15.8,6,2.63,NA,210707A,ANIMAL R,6501,650.1,90420000,904.2,9042000,90.42,7.19,0.719,10,2.9,1.9,1.4,1.2,7.4,NA
C3F3,CONTROL,LD4,19,10,1,1,11,8,20,12,16,20,590,644,3,20.6,9,2.29,NA,210706A,ANIMAL I,972,88.36,66150000,661.5,6013636,60.136,1.469,0.134,11,3,0.4,0.1,0.4,3.9,NA
C3F4,DREADD,LD4,0,0,0,0,12,0,8,29,0,0,1800,1800,0,14.8,7,2.11,NA,210709A,ANIMAL T,1695,188.33,74170000,741.7,8241111,82.411,2.285,0.254,9,0.4,0.1,0.3,0,0.8,2
C3F6,CONTROL,LD4,23,11,7,0,4,2,21,12,20,30,11,411,3,15.3,7,2.19,NA,210707B,ANIMAL D,2259,251,68580000,685.8,7620000,76.2,3.294,0.366,9,2.8,1.7,1.8,0.7,7,3
C3F7,CONTROL,LD4,16,0,10,0,14,2,16,20,12,26,476,516,1,15.5,7,2.21,NA,210713A,ANIMAL B,3081,385.13,60140000,601.4,7517500,75.175,5.123,0.64,8,1.7,1.7,2.2,1.6,7.2,2
